"Filename",203_1.mzML,206_1.mzML,205_1.mzML,203_2.mzML,205_2.mzML,206_2.mzML,202_3.mzML,203_3.mzML,208_2.mzML,207_2.mzML,209_2.mzML,211_1.mzML,210_1.mzML,209_1.mzML,202_1.mzML,207_1.mzML,212_1.mzML,212_2.mzML,211_2.mzML,208_1.mzML,213_1.mzML,213_3.mzML,210_2.mzML,204_1.mzML,202_2.mzML,213_2.mzML,204_2.mzML
143/465.1883mz/1.11min,,279452.8125,139200.796875,272076.96875,293816.4375,,331225.78125,,,,197489.484375,,,,353976.84375,,206341.921875,,,,,,,,,95527.1875,
145/378.7066mz/1.13min,,,,1141788.0,,,8350601.5,,5064609.0,,,812336.8125,,,6586316.0,,554535.4375,222170.078125,1204722.875,4079894.25,,,,5303231.5,,,
147/223.0970mz/1.15min,169811.390625,381517.65625,387834.8125,,,377879.46875,941210.0,179868.75,369882.375,1298759.875,341704.84375,586234.6875,1409695.375,391692.4375,1270921.0,714923.5625,454424.5,,342974.46875,714244.3125,441676.8125,479179.15625,1149376.625,2127905.5,1766825.5,,3048510.75
148/449.1936mz/1.15min,,290635.3125,85451.0078125,293531.25,320176.84375,283163.40625,,,,,206226.53125,,,194903.515625,,197167.859375,222819.734375,,,,,,,,,127554.546875,
150/344.2289mz/1.16min,,,,,,,,,,,,59174.1640625,353251.53125,,,,216876.609375,100453.03125,,,,,276307.625,654868.4375,768347.5,,1340383.25
151/241.1076mz/1.16min,173997.28125,380585.15625,413378.46875,,,375111.84375,,,381764.3125,1258539.25,330038.5625,553237.0625,1376100.625,452459.34375,,720708.625,456833.1875,,303052.09375,677120.5,447873.625,475286.34375,1087335.5,2225674.0,1963280.0,,3462149.75
152/181.0864mz/1.16min,,,137544.5625,,,,,,,516134.25,130046.8671875,,628013.375,,,353752.25,253635.296875,,,301526.0,101634.515625,222095.015625,534171.5625,1462693.125,1366096.5,,2416201.25
153/327.2022mz/1.16min,153609.59375,278220.1875,343531.8125,,207748.234375,353813.1875,662412.75,,296828.5625,572567.375,273008.3125,,680860.625,305694.5,513421.21875,359873.28125,441533.0,249829.09375,318646.84375,433721.46875,396151.65625,169466.78125,711160.375,1287958.125,1418506.375,182035.09375,2407648.0
154/349.1842mz/1.16min,,,,,,,,,,,,,364618.0,,,,126917.4140625,,,,,,290634.3125,791488.25,849752.5,,1526693.75
155/caffeic acid CollisionEnergy:102040/163.0395mz/1.17min,,208793.90625,,,168055.484375,,,,,,,,,,,,,,,,,,,,,,
