Filename,202_3.mzML,202_1.mzML,202_2.mzML,203_1.mzML,203_2.mzML,203_3.mzML,204_1.mzML,204_2.mzML,205_1.mzML,205_2.mzML,206_1.mzML,206_2.mzML,207_2.mzML,207_1.mzML,208_2.mzML,208_1.mzML,209_2.mzML,209_1.mzML,210_1.mzML,210_2.mzML,211_1.mzML,211_2.mzML,212_1.mzML,212_2.mzML,213_1.mzML,213_3.mzML,213_2.mzML
192/504.3041mz/1.44min,552412.0625,827599.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193/RIBOFLAVIN/377.1467mz/1.46min,912044.125,1031015.5625,226857.21875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296846.0625,231708.375,NA,NA,402830.8125,356522.53125,NA,NA,NA,NA,NA,NA,NA
199/166.0866mz/1.48min,143949.890625,206955.359375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207/591.3371mz/1.52min,318691.4375,1252506.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211/579.8055mz/1.55min,248288.265625,844073.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216/Spectral Match to Nonaethylene glycol from NIST14 [IIN-based on: CCMSLIB00003135822]/432.2815mz/1.62min,1485232.875,996548.4375,3794586,1222646.25,1083599.75,781873.9375,2975369.75,5493746,1078975.75,1231072.75,1054929.5,1101727,1268504,1023171.0625,1062521.25,991875.5625,1113028.75,974848.4375,1468663.5,1535662.625,932363.3125,1013704.25,1327325.625,861935.5625,1329838.125,893957.0625,880899.75
217/437.2371mz/1.62min,369821.5,NA,995892.25,368045,288176.5,NA,819759.75,1346101,286507.125,313366.90625,NA,NA,487150.3125,220469.515625,288600.78125,188976.90625,NA,NA,450371.84375,480030.21875,212378.296875,249038.640625,388026.9375,112440.8984375,NA,NA,NA
223/515.7754mz/1.67min,794334,2407548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228/491.1537mz/1.69min,321478.625,393138.28125,621188.6875,548036.25,837482,418792.09375,671368.5625,706262.9375,432397.46875,462048.71875,454024.21875,373196.65625,NA,NA,421261.75,307585.9375,509161.03125,442347.4375,459973.34375,478940.46875,346251.0625,363517.34375,444473.9375,514631.21875,454265.4375,421041.8125,493422.8125
230/508.7857mz/1.72min,585902.375,3752299.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233/856.4433mz/1.76min,853984.75,1171320.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240/FERULATE/177.0551mz/1.85min,576437.1875,696867.875,NA,NA,NA,NA,NA,NA,NA,NA,257647.15625,257998.78125,NA,NA,NA,NA,NA,NA,304064.34375,336547.65625,NA,NA,NA,NA,NA,NA,NA
